run_name,task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_gpu_sync_ms,policy_time_wall_ms,gpu_sync_before_after_used,sample_actions_ms,policy_time_ms,serve_time_ms,client_roundtrip_ms,timing_patch_stage,source
stage6_libero_goal_task0_seed7_n3,0,1,5,draft,12,12,8.064422996540088,8.064422996540088,1,8.064422996540088,10.497789000510238,10.614858998451382,11.864872998557985,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,1,6,draft,12,12,22.214509001059923,22.214509001059923,1,22.214509001059923,24.689845005923416,24.82655601488659,26.30461100488901,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,1,7,draft,12,12,8.053183999436442,8.053183999436442,1,8.053183999436442,10.559189002378844,10.67602099647047,11.812882003141567,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,1,8,draft,12,12,8.12847400084138,8.12847400084138,1,8.12847400084138,10.587318996840622,10.70577999780653,12.290735998249147,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,1,9,draft,12,12,8.044023001275491,8.044023001275491,1,8.044023001275491,10.326366995286662,10.46327799122082,11.977982998359948,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,2,0,full,12,12,33.15581199422013,33.15581199422013,1,33.15581199422013,35.872699998435564,35.9943509902223,37.47046600619797,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,2,1,draft,12,12,8.199134994356427,8.199134994356427,1,8.199134994356427,10.72674999886658,10.843481999472715,12.046194002323318,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,2,2,draft,12,12,8.089262999419589,8.089262999419589,1,8.089262999419589,10.580389003735036,10.69888100028038,11.847451998619363,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,2,3,draft,12,12,8.073513003182597,8.073513003182597,1,8.073513003182597,10.419976999401115,10.536938993027434,11.548139002115931,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,2,4,draft,12,12,8.25248500041198,8.25248500041198,1,8.25248500041198,10.629538999637589,10.747801003162749,12.096915001166053,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,2,5,draft,12,12,8.066793001489714,8.066793001489714,1,8.066793001489714,10.603349001030438,10.722499995608814,12.115414996515028,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
stage6_libero_goal_task0_seed7_n3,0,2,6,draft,12,12,8.058713996433653,8.058713996433653,1,8.058713996433653,10.563399002421647,10.744710998551454,11.867511995660607,stage6,/workspace/realtime_vla_flash_project/videos/stage6_sync_profile/stage6_libero_goal_task0_seed7_n3/episodes/task00_ep002_open_the_middle_drawer_of_the_cabinet_success/infer.jsonl
