run_name,task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_ms,serve_time_ms,client_roundtrip_ms,sample_actions_ms
stage4_libero_goal_task0_seed7_n10,0,0,0,full,12,12,35.09668200422311,35.201402999518905,36.66702800546773,32.8218590002507
stage4_libero_goal_task0_seed7_n10,0,0,1,draft,12,12,10.770570996101014,10.942542990960646,12.0811250017141,8.19750399386976
stage4_libero_goal_task0_seed7_n10,0,0,2,draft,12,12,10.729000001447275,10.858542002097238,12.300197005970404,8.146284002577886
stage4_libero_goal_task0_seed7_n10,0,0,3,draft,12,12,10.619259999657515,10.747200991318095,11.890552996192127,8.092964002571534
stage4_libero_goal_task0_seed7_n10,0,0,4,draft,12,12,10.870491998502985,11.002223000105005,12.086075003026053,8.100694001768716
stage4_libero_goal_task0_seed7_n10,0,0,5,draft,12,12,10.680610001145396,10.799951996887103,11.846483001136221,8.098163001704961
stage4_libero_goal_task0_seed7_n10,0,0,6,draft,12,12,10.496208000404295,10.679539998818655,11.723140996764414,8.10628299950622
stage4_libero_goal_task0_seed7_n10,0,0,7,draft,12,12,10.569799000222702,10.692990996176377,11.797901999671012,8.090633004030678
stage4_libero_goal_task0_seed7_n10,0,0,8,draft,12,12,10.783131001517177,10.921502005658112,12.092795004718937,8.108704001642764
stage4_libero_goal_task0_seed7_n10,0,0,9,draft,12,12,9.50527799432166,9.586258995113894,10.416297998744994,7.675719003600534
stage4_libero_goal_task0_seed7_n10,0,1,0,full,12,12,34.57109699957073,34.668307001993526,36.09264200349571,32.802578003611416
stage4_libero_goal_task0_seed7_n10,0,1,1,draft,12,12,9.587738997652195,9.669478989962954,10.598109998682048,7.686119002755731
stage4_libero_goal_task0_seed7_n10,0,1,2,draft,12,12,15.646761996322311,15.743971991469152,16.711192001821473,7.734140002867207
stage4_libero_goal_task0_seed7_n10,0,1,3,draft,12,12,10.548988997470587,10.73692998761544,12.247746002685744,8.075613004621118
stage4_libero_goal_task0_seed7_n10,0,1,4,draft,12,12,10.441348000313155,10.57174000015948,11.726930999429896,8.08154400147032
stage4_libero_goal_task0_seed7_n10,0,1,5,draft,12,12,10.654548997990787,10.775390001072083,11.89289300236851,8.09749399923021
stage4_libero_goal_task0_seed7_n10,0,1,6,draft,12,12,10.62233999982709,10.809700994286686,11.978353002632502,8.085704001132399
stage4_libero_goal_task0_seed7_n10,0,1,7,draft,12,12,10.676229998352937,10.797360999276862,11.993863998213783,8.09581399516901
stage4_libero_goal_task0_seed7_n10,0,1,8,draft,12,12,10.68373099406017,10.810271996888332,11.902293001185171,8.091722993412986
stage4_libero_goal_task0_seed7_n10,0,1,9,draft,12,12,10.533328997553326,10.65682998887496,11.867651999637019,8.075613004621118
stage4_libero_goal_task0_seed7_n10,0,2,0,full,12,12,35.61689799971646,35.760808998020366,37.90475099958712,33.1759519976913
stage4_libero_goal_task0_seed7_n10,0,2,1,draft,12,12,11.051403998862952,11.174024999490939,12.442058003216516,8.163054000760894
stage4_libero_goal_task0_seed7_n10,0,2,2,draft,12,12,10.745491003035568,10.879052002565004,12.102844993933104,8.137933997204527
stage4_libero_goal_task0_seed7_n10,0,2,3,draft,12,12,10.528978004003875,10.651629010681063,11.85804199485574,8.141824000631459
stage4_libero_goal_task0_seed7_n10,0,2,4,draft,12,12,10.745990999566857,10.876673004531767,12.093593999452423,8.08562299789628
stage4_libero_goal_task0_seed7_n10,0,2,5,draft,12,12,10.54161899810424,10.66426000033971,12.044445000356063,8.078762999502942
stage4_libero_goal_task0_seed7_n10,0,2,6,draft,12,12,10.481518002052326,10.6242999972892,11.82053099910263,8.127704000798985
stage4_libero_goal_task0_seed7_n10,0,2,7,draft,12,12,10.418867001135368,10.560088005149737,11.671691005176399,8.099013997707516
stage4_libero_goal_task0_seed7_n10,0,2,8,draft,12,12,10.580228998151142,10.714159994677175,11.85566200001631,8.093012998870108
