condition,run_name,task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_gpu_sync_ms,policy_time_wall_ms,policy_time_ms,serve_time_ms,client_roundtrip_ms,sample_actions_ms,stage5_perturb_enabled,stage5_perturb_condition,stage5_perturb_applied,stage7_guard_enabled,stage7_guard_mode,stage7_wrist_health_mean,stage7_wrist_health_std,stage7_wrist_health_range,stage7_wrist_healthy,stage7_cache_available,stage7_cache_age_queries,stage7_cache_hit,stage7_cache_miss,stage7_image_replaced,stage7_cache_updated,stage7_guard_query_index,stage7_guard_note,source
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,11,draft,1,1,8.059013001911808,8.059013001911808,10.233185996185057,10.345976988901384,11.174835002748296,8.059013001911808,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,11,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,12,full,12,12,33.35616299591493,33.35616299591493,35.61646700109122,35.72579799219966,36.64443700108677,33.35616299591493,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,12,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,13,draft,3,3,8.336954997503199,8.336954997503199,11.34224700217601,11.542078005732037,12.576970002555754,8.336954997503199,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,13,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,14,draft,1,1,8.16238400147995,8.16238400147995,10.745990999566857,10.877722001168877,11.85618199815508,8.16238400147995,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,14,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,15,full,12,12,33.2631620040047,33.2631620040047,35.631286998977885,35.76632800104562,36.702778001199476,33.2631620040047,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,15,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,16,draft,3,3,8.39514700055588,8.39514700055588,11.44245799514465,11.597848999372218,12.666859998716973,8.39514700055588,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,16,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,17,draft,1,1,8.177814997907262,8.177814997907262,10.777190997032449,10.911972996836994,11.854762000439223,8.177814997907262,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,17,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,18,full,12,12,33.07938099897001,33.07938099897001,35.500516001775395,35.621295995952096,36.53169600147521,33.07938099897001,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,18,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,19,draft,1,1,8.289375000458676,8.289375000458676,11.26761500199791,11.422428004152607,12.613329003215767,8.289375000458676,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,19,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
guard_wrist_zero_all,stage7_wrist_health_guard,0,0,20,full,12,12,35.01123000023654,35.01123000023654,37.33980399556458,37.47196499170968,38.34963499684818,35.01123000023654,True,wrist_zero_all,True,True,last_valid_cache,0.0,0.0,0.0,False,False,-1,False,True,False,False,20,unhealthy_no_valid_cache,/workspace/realtime_vla_flash_project/videos/stage7_wrist_health_guard/stage7_guard_allzero_task0_seed7_n3/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
