task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_ms,serve_time_ms,client_roundtrip_ms,sample_actions_ms
0,0,0,full,12,12,101009.89927200135,101010.16266400256,101012.13244500104,79244.85262000235
0,0,1,draft,12,12,17393.080326997733,17393.294999004866,17394.629373004136,17390.187197997875
0,0,2,draft,12,12,13.02278300136095,13.251545999082737,24.709153003641404,8.439457000349648
0,0,3,draft,12,12,10.78724100079853,11.002373001247179,12.438327001291327,8.143224004015792
0,0,4,draft,12,12,10.82615100312978,10.944821995508391,12.912252001115121,8.180413999070879
0,0,5,draft,12,12,10.623868998663966,10.741229998529889,12.079653999535367,8.116523000353482
0,0,6,draft,12,12,10.720109996327665,10.837190995516721,12.159074998635333,8.190563996322453
0,0,7,draft,12,12,10.942011998849921,11.058352996769827,12.288726000406314,8.198574003472459
0,0,8,draft,12,12,10.925071997917257,11.045514002034906,12.565378994622733,8.18542399792932
0,0,9,draft,12,12,10.764340993773658,10.884001996601,12.106273999961559,8.112682997307274
0,1,0,full,12,12,35.28379199997289,35.383612994337454,36.9203479931457,32.87835700029973
0,1,1,draft,12,12,10.233894994598813,10.326716001145542,11.311016001855023,7.940722003695555
0,1,2,draft,12,12,10.856351000256836,10.974292999890167,12.137874997279141,8.13223399745766
0,1,3,draft,12,12,10.618578999128658,10.752109999884851,12.06041299883509,8.088261994998902
0,1,4,draft,12,12,10.812740001711063,10.93137200223282,12.056144005327951,8.104862994514406
0,1,5,draft,12,12,10.854660999029875,10.971092000545468,12.149703994509764,8.087142996373586
0,1,6,draft,12,12,10.703130006731953,10.816171008627862,12.266505997104105,8.101653002086096
0,1,7,draft,12,12,10.804571000335272,10.918931999185588,12.575308996019885,8.089022994681727
0,1,8,draft,12,12,10.718200006522238,10.836311004823074,11.998343004961498,8.127763001539279
0,1,9,draft,12,12,10.725760002969764,10.843211006431375,12.353197002084926,8.101793006062508
0,1,10,draft,12,12,10.781669996504206,10.900860994297545,12.46554799581645,8.095163000689354
