episode,task_suite_name,task_id,completed,success,steps,infer_calls,failure_reason,video_path,source
0,libero_goal,0,True,True,120,10,,episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,/workspace/realtime_vla_flash_project/videos/stage3_closed_loop_smoke/stage3_libero_goal_task0_seed7_n2/episode_log.json
1,libero_goal,0,True,True,139,11,,episodes/task00_ep001_open_the_middle_drawer_of_the_cabinet_success/rollout_success.mp4,/workspace/realtime_vla_flash_project/videos/stage3_closed_loop_smoke/stage3_libero_goal_task0_seed7_n2/episode_log.json
