condition,run_name,task_id,episode_idx,infer_id,route_type,accepted_prefix_len,chunk_exec_len,policy_time_gpu_sync_ms,policy_time_wall_ms,policy_time_ms,serve_time_ms,client_roundtrip_ms,sample_actions_ms,stage5_perturb_enabled,stage5_perturb_condition,stage5_perturb_target_key,stage5_perturb_applied,stage5_perturb_query_index,stage5_perturb_mode,stage5_perturb_period,source
wrist_zero_all,stage5_camera_dropout,0,0,12,draft,1,1,8.289355995657388,8.289355995657388,10.976552999636624,11.111424995760899,12.285996999708004,8.289355995657388,True,wrist_zero_all,robot0_eye_in_hand_image,True,12,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,13,full,12,12,36.85136100102682,36.85136100102682,39.22437500295928,39.327936006884556,40.31974600366084,36.85136100102682,True,wrist_zero_all,robot0_eye_in_hand_image,True,13,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,14,draft,3,3,8.308846001455095,8.308846001455095,11.30804700369481,11.468588003481273,12.778962001902983,8.308846001455095,True,wrist_zero_all,robot0_eye_in_hand_image,True,14,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,15,draft,1,1,8.137493998219725,8.137493998219725,10.785471997223794,10.91027299844427,12.10794500366319,8.137493998219725,True,wrist_zero_all,robot0_eye_in_hand_image,True,15,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,16,full,12,12,33.08801099774428,33.08801099774428,35.42860599554842,35.553876994526945,36.92076099832775,33.08801099774428,True,wrist_zero_all,robot0_eye_in_hand_image,True,16,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,17,draft,1,1,8.267275996331591,8.267275996331591,10.997293000400532,11.138063993712422,12.491748995671514,8.267275996331591,True,wrist_zero_all,robot0_eye_in_hand_image,True,17,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,18,full,12,12,33.49394499673508,33.49394499673508,35.511965994373895,35.6310679926537,36.77662900008727,33.49394499673508,True,wrist_zero_all,robot0_eye_in_hand_image,True,18,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,19,draft,1,1,8.286504998977762,8.286504998977762,11.308597000606824,11.449227997218259,12.753251001413446,8.286504998977762,True,wrist_zero_all,robot0_eye_in_hand_image,True,19,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,20,full,12,12,33.1774320002296,33.1774320002296,35.55091700400226,35.66983800556045,36.8126389948884,33.1774320002296,True,wrist_zero_all,robot0_eye_in_hand_image,True,20,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
wrist_zero_all,stage5_camera_dropout,0,0,21,draft,0,0,8.662608997838106,8.662608997838106,11.51335899339756,11.662910990708042,13.274677003209945,8.662608997838106,True,wrist_zero_all,robot0_eye_in_hand_image,True,21,zero_all,1,/workspace/realtime_vla_flash_project/videos/stage5_camera_dropout/stage5_wrist_zero_all_task0_seed7_n5/episodes/task00_ep000_open_the_middle_drawer_of_the_cabinet_failure/infer.jsonl
